Time(s)	Conductance(uS)
139.303000	13.666700
139.403000	13.289000
139.503000	13.919800
139.603000	15.462800
139.703000	15.202700
139.803000	15.462800
139.903000	15.593200
140.003000	15.593200
140.103000	15.593200
140.203000	15.462800
140.303000	15.462800
140.403000	15.073100
140.503000	15.462800
140.603000	15.462800
140.703000	15.462800
140.803000	15.462800
140.903000	15.332600
141.003000	15.462800
141.103000	15.332600
141.203000	15.332600
141.303000	15.332600
141.403000	15.462800
141.503000	15.462800
141.603000	15.462800
141.703000	15.332600
141.803000	14.943800
141.903000	15.202700
142.003000	14.174100
142.103000	12.048200
142.203000	12.048200
142.303000	11.803300
142.403000	12.048200
142.503000	13.038700
142.603000	13.666700
142.703000	13.666700
142.803000	13.793100
142.903000	13.540500
143.003000	13.666700
143.103000	13.414600
143.203000	13.289000
143.303000	13.289000
143.403000	13.163700
143.503000	13.038700
143.603000	13.163700
143.703000	13.038700
143.803000	13.163700
143.903000	13.289000
144.003000	13.289000
144.103000	13.414600
144.203000	12.417600
144.303000	13.793100
144.403000	13.793100
144.503000	13.793100
144.603000	14.046800
144.703000	0.491200
144.803000	14.429500
144.903000	14.686100
145.003000	9.411800
145.103000	14.943800
145.203000	14.943800
145.303000	14.943800
145.403000	14.943800
145.503000	14.943800
145.603000	10.118400
145.703000	15.073100
145.803000	15.073100
145.903000	15.073100
146.003000	14.943800
146.103000	15.073100
146.203000	14.943800
146.303000	14.943800
146.403000	13.919800
146.503000	5.900600
146.603000	15.073100
146.703000	2.607800
146.803000	5.681800
146.903000	15.332600
147.003000	15.332600
147.103000	15.073100
147.203000	15.202700
147.303000	15.462800
147.403000	15.202700
147.503000	15.462800
147.603000	15.593200
147.703000	15.462800
147.803000	15.593200
147.903000	15.855000
148.003000	15.073100
148.103000	14.557700
148.203000	15.855000
148.303000	15.593200
148.403000	8.254000
148.503000	14.814800
148.603000	15.462800
148.703000	15.332600
148.803000	15.593200
148.903000	15.462800
149.003000	15.724000
149.103000	15.724000
149.203000	15.855000
149.303000	15.986400
149.403000	15.855000
149.503000	15.986400
149.603000	15.855000
149.703000	15.593200
149.803000	14.686100
149.903000	15.724000
150.003000	15.855000
150.103000	16.118000
150.203000	15.462800
150.303000	16.250000
150.403000	16.118000
150.503000	15.202700
150.603000	14.301700
150.703000	14.557700
150.803000	14.046800
150.903000	15.986400
151.003000	16.250000
151.103000	15.986400
151.203000	15.986400
151.303000	15.855000
151.403000	15.986400
151.503000	15.855000
151.603000	15.986400
151.703000	16.118000
151.803000	16.118000
151.903000	16.118000
152.003000	15.986400
152.103000	16.118000
152.203000	15.855000
152.303000	15.462800
152.403000	15.855000
152.503000	14.301700
152.603000	15.855000
152.703000	15.462800
152.803000	15.073100
152.903000	15.462800
153.003000	14.943800
153.103000	14.557700
153.203000	14.686100
153.303000	14.557700
153.403000	14.301700
153.503000	14.557700
153.603000	14.429500
153.703000	14.301700
153.803000	14.429500
153.903000	14.301700
154.003000	14.301700
154.103000	14.301700
154.203000	14.301700
154.303000	14.429500
154.403000	14.557700
154.503000	14.557700
154.603000	14.557700
154.703000	14.557700
154.803000	14.301700
154.903000	1.287100
155.003000	14.557700
155.103000	14.429500
155.203000	14.174100
155.303000	14.046800
155.403000	14.046800
155.503000	14.046800
155.603000	14.046800
155.703000	14.046800
155.803000	14.046800
155.903000	14.046800
156.003000	14.046800
156.103000	14.046800
156.203000	14.046800
156.303000	14.046800
156.403000	11.681200
156.503000	14.301700
156.603000	14.174100
156.703000	14.174100
156.803000	14.046800
156.903000	14.046800
157.003000	14.046800
157.103000	14.046800
157.203000	14.046800
157.303000	14.046800
157.403000	14.174100
157.503000	14.174100
157.603000	14.174100
157.703000	14.174100
157.803000	14.429500
157.903000	14.174100
158.003000	14.429500
158.103000	14.557700
158.203000	14.301700
158.303000	14.557700
158.403000	14.686100
158.503000	14.557700
158.603000	14.686100
158.703000	14.943800
158.803000	14.686100
158.903000	14.943800
159.003000	14.686100
159.103000	14.943800
159.203000	15.073100
159.303000	14.943800
159.403000	15.073100
159.503000	15.202700
159.603000	15.202700
159.703000	15.332600
159.803000	15.462800
159.903000	15.332600
160.003000	15.332600
160.103000	15.202700
160.203000	15.073100
160.303000	15.202700
160.403000	15.332600
160.503000	15.462800
160.603000	14.814800
160.703000	15.593200
160.803000	15.593200
160.903000	15.462800
161.003000	15.593200
161.103000	15.462800
161.203000	15.462800
161.303000	15.593200
161.403000	15.593200
161.503000	15.593200
161.603000	15.593200
161.703000	15.593200
161.803000	15.724000
161.903000	15.593200
162.003000	15.593200
162.103000	15.986400
162.203000	16.118000
162.303000	16.118000
162.403000	16.118000
162.503000	16.118000
162.603000	16.118000
162.703000	16.118000
162.803000	15.855000
162.903000	15.855000
163.003000	15.724000
163.103000	15.724000
163.203000	15.724000
163.303000	15.593200
163.403000	15.724000
163.503000	15.593200
163.603000	15.462800
163.703000	15.462800
163.803000	15.593200
163.903000	15.593200
164.003000	15.593200
164.103000	15.462800
164.203000	15.593200
164.303000	15.462800
164.403000	15.593200
164.503000	15.593200
164.603000	15.593200
164.703000	15.593200
164.803000	15.593200
164.903000	15.593200
165.003000	15.593200
165.103000	15.462800
165.203000	15.593200
165.303000	15.593200
165.403000	15.593200
165.503000	15.462800
165.603000	15.462800
165.703000	15.724000
165.803000	15.593200
165.903000	15.332600
166.003000	15.724000
166.103000	15.462800
166.203000	15.202700
166.303000	15.724000
166.403000	15.332600
166.503000	15.073100
166.603000	15.593200
166.703000	15.202700
166.803000	14.943800
166.903000	15.332600
167.003000	15.073100
167.103000	14.814800
167.203000	15.202700
167.303000	14.943800
167.403000	14.814800
167.503000	14.943800
167.603000	14.814800
167.703000	14.686100
167.803000	14.943800
167.903000	14.686100
168.003000	14.557700
168.103000	14.686100
168.203000	14.557700
168.303000	14.429500
168.403000	14.557700
168.503000	14.429500
168.603000	14.557700
168.703000	14.429500
168.803000	14.301700
168.903000	14.429500
169.003000	14.429500
169.103000	14.301700
169.203000	14.429500
169.303000	14.301700
169.403000	14.301700
169.503000	14.429500
169.603000	14.814800
169.703000	14.814800
169.803000	14.943800
169.903000	14.814800
170.003000	14.814800
170.103000	14.814800
170.203000	14.557700
170.303000	14.557700
170.403000	14.686100
170.503000	14.686100
170.603000	14.686100
170.703000	14.686100
170.803000	14.686100
170.903000	14.557700
171.003000	14.686100
171.103000	14.557700
171.203000	14.557700
171.303000	14.557700
171.403000	14.557700
171.503000	14.557700
171.603000	14.557700
171.703000	14.557700
171.803000	14.557700
171.903000	14.557700
172.003000	14.557700
172.103000	14.557700
172.203000	14.429500
172.303000	14.429500
172.403000	14.557700
172.503000	14.429500
172.603000	14.429500
172.703000	14.429500
172.803000	14.557700
172.903000	13.163700
173.003000	5.900600
173.103000	4.281300
173.203000	8.598700
173.303000	14.174100
173.403000	14.943800
173.503000	14.814800
173.603000	14.686100
173.703000	14.686100
173.803000	14.686100
173.903000	14.557700
174.003000	14.557700
174.103000	14.557700
174.203000	14.557700
174.303000	14.557700
174.403000	14.557700
174.503000	14.557700
174.603000	14.557700
174.703000	14.429500
174.803000	14.429500
174.903000	14.429500
175.003000	14.429500
175.103000	14.429500
175.203000	14.429500
175.303000	14.429500
175.403000	14.429500
175.503000	14.429500
175.603000	14.429500
175.703000	14.429500
175.803000	14.429500
175.903000	14.429500
176.003000	14.429500
176.103000	14.429500
176.203000	14.429500
176.303000	14.429500
176.403000	14.429500
176.503000	14.557700
176.603000	14.429500
176.703000	14.429500
176.803000	14.429500
176.903000	14.429500
177.003000	14.429500
177.103000	14.429500
177.203000	14.429500
177.303000	1.387500
177.403000	14.557700
177.503000	14.557700
177.603000	14.429500
177.703000	14.429500
177.803000	14.429500
177.903000	14.429500
178.003000	14.429500
178.103000	14.429500
